"TH_T_U_UID_1","TH_T_U_UID_2"
132557,132948
132557,132279
132557,133064
132557,132540
132557,135470
132558,133191
132558,133085
132558,132598
132558,132531
132558,132363
132558,132572
132559,132598
132559,132593
132559,132958
132559,132606
132559,132605
132559,133073
132559,132599
132559,133062
132560,132489
132561,132562
132561,132563
132562,133046
132562,132567
132562,132561
132562,132577
132562,145519
132562,132316
132563,132567
132563,132561
132563,135476
132563,145519
132563,132316
132564,132565
132564,133040
132565,132564
132565,133039
132566,132365
132566,132571
132566,132570
132566,132572
132566,132567
132567,132563
132567,132562
132567,132522
132567,132566
132570,132566
132571,132379
132571,132566
132572,132558
132572,132566
132572,132353
132574,132577
132574,132380
132576,132371
132577,132562
132577,132574
132578,186346
132579,134980
132579,132986
132579,135628
132579,132391
132579,134476
132579,134455
132579,132802
132582,132423
132582,132382
132583,132184
132583,132971
132583,132277
132584,132881
132584,132292
132584,132882
132585,132382
132587,132826
132587,132809
132587,132670
132587,132812
132587,134461
132588,134461
132591,132319
132591,132382
132591,135100
132593,132559
132593,132959
132593,145529
132595,132599
132596,132495
132596,133309
132596,132493
132596,141380
132596,132551
132596,144863
132596,132446
132597,132382
132598,132559
132598,132959
132598,145529
132598,132558
132599,132595
132599,132559
132599,145529
132599,132959
132599,133062
132599,132948
132599,132951
132599,132206
132601,132509
132601,132508
132601,172685
132601,172688
132605,132559
132605,132959
132605,132852
132605,145529
132606,132559
132606,132959
132606,145529
132608,132382
132608,134020
132608,131550
132608,134022
132614,132825
132615,132458
132618,132898
132618,132901
132618,132718
132618,132666
132622,132931
132622,132914
132625,132186
132625,132196
132625,135443
132625,134960
132625,135516
132625,172245
132625,132226
132625,135010
132625,132225
132630,132665
132635,133003
132635,132859
132640,205773
132642,132660
132642,135493
132642,132668
132643,132868
132643,132861
132643,132650
132645,132885
132645,132883
132645,132880
132648,132899
132648,132880
132648,132871
132648,132883
132648,132873
132648,132882
132648,132163
132649,135491
132650,132861
132650,132863
132650,132643
132650,132862
132650,172265
132651,134960
132652,133004
132655,132873
132655,132665
132655,132891
132655,132887
132656,132147
132656,132866
132656,172265
132659,132870
132660,135455
132660,132642
132660,135493
132662,132873
132662,132866
132663,132665
132665,132870
132665,132630
132665,132857
132665,132655
132665,135493
132665,132873
132665,132663
132665,132911
132665,135677
132665,132899
132666,132857
132666,135163
132666,177422
132666,132618
132668,135455
132668,132642
132668,135493
132669,134188
132669,134187
132670,132813
132670,132587
132670,134065
132671,132808
132671,132812
132671,132810
132674,135407
132674,134316
132675,134731
132675,132715
132676,132796
132676,135642
132676,132715
132676,145683
132676,132756
132676,132710
132676,132997
132676,132711
132676,132709
132676,132834
132676,135577
132676,133159
132676,135010
132676,132795
132676,165191
132676,132514
132676,134432
132676,132696
132677,132283
132681,132689
132681,132684
132681,132539
132682,132511
132682,132161
132683,132172
132684,132689
132684,133022
132684,132681
132684,132539
132684,135215
132684,132527
132684,132523
132684,135208
132684,135225
132687,132689
132688,132695
132689,132684
132689,132687
132689,132527
132689,132521
132689,132681
132689,135215
132690,132338
132690,132159
132691,135210
132693,135210
132695,132531
132695,133085
132695,133146
132695,132510
132695,133191
132695,141161
132695,132523
132695,132529
132695,132533
132695,132534
132695,132688
132695,132535
132695,132512
132696,132676
132697,132381
132697,132703
132700,132701
132700,135545
132700,132703
132700,132997
132700,202790
132701,132703
132701,132700
132702,132703
132703,132701
132703,132697
132703,132700
132703,132702
132703,134400
132703,134363
132703,135595
132703,134346
132704,135242
132704,135708
132705,132710
132705,132713
132705,134262
132705,134659
132705,132752
132705,132342
132707,132710
