"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
191188,"BALCONY ACCESS BLOCK",1,135624,135088
145510,"BALL CLAY WORKS",1,132986,132062
132152,"BALL CLAY WORKS",1,135416,132062
132115,"BALL CLAY WORKS",1,135429,132062
144464,"BALL SPORTS SITE",1,135327,133551
190419,"BALLAST HILL",1,133420,133420
135834,"BALLAST POND",1,132431,132062
135835,"BALLAST POND",1,135136,133420
133433,"BALLET SCHOOL",1,135189,133422
135910,"BALLOON SHED",1,132988,132062
135855,"BALLROOM",1,135326,133551
131786,"BALUSTRADE",1,131783,131783
131877,"BANDSTAND",1,131783,131783
133562,"BANDSTAND",1,135326,133551
143983,"BANJO ENCLOSURE",1,135304,143383
131549,"BANJO ENCLOSURE",1,134003,134003
131937,"BANK (EARTHWORK)",1,135305,143383
135601,"BANK (FINANCIAL)",1,133154,133154
134021,"BANK BARN",1,134023,134003
133769,"BANK BARROW",1,133768,133667
191950,"BANQUETING HOUSE",1,134946,133154
133563,"BANQUETING HOUSE",1,135323,133551
131800,"BANQUETING HOUSE",1,131811,131783
133834,"BAPTIST BURIAL GROUND",1,202678,133667
133698,"BAPTIST CHAPEL",1,133697,133667
133673,"BAPTISTERY",1,133667,133667
190234,"BAR (LICENCED)",1,134946,133154
190235,"BAR (LICENCED)",1,135323,133551
190236,"BAR (LICENCED)",1,134963,133154
204836,"BARBED WIRE ENTANGLEMENT",1,139303,133297
139303,"BARBED WIRE OBSTRUCTION",1,136815,133297
133163,"BARBERS SHOP",1,133254,133154
133318,"BARBICAN",1,133355,133297
182106,"BARGE BED",1,135265,134198
191936,"BARILLA MILL",1,132515,132062
190412,"BARILLA MILL",1,132579,132062
190411,"BARILLA MILL",1,132601,132062
134020,"BARK HOUSE",1,134006,134003
132932,"BARK HOUSE",1,135450,132062
192280,"BARK MILL",1,145304,132062
132933,"BARK MILL",1,135450,132062
132608,"BARK MILL",1,145303,132062
144832,"BARK PEELERS HUT",1,144823,131528
134022,"BARK PEELERS HUT",1,134006,134003
132985,"BARK PEELERS HUT",1,135450,132062
131550,"BARK PEELERS HUT",1,131554,131528
196516,"BARK POT",1,135102,134003
133319,"BARMKIN",1,133355,133297
134023,"BARN",1,135100,134003
134024,"BARN PLATFORM",1,135291,143383
134692,"BARRACKS",1,144323,131528
